"","user_id","activity_date","product_group","n_purchases","gold_spend"
"139",307602,2024-04-21,"Boost",2,13
"140",299072,2024-04-21,"Weapon",1,8
"141",298277,2024-04-21,"Weapon",4,20
"142",302248,2024-04-21,"Weapon",2,17
"143",302189,2024-04-21,"Weapon",1,15
"144",286956,2024-04-21,"Weapon",1,15
"145",272595,2024-04-21,"Weapon",1,20
"146",300884,2024-04-21,"Weapon",4,60
"147",273799,2024-04-21,"Weapon",4,20
"148",301669,2024-04-21,"Weapon",1,15
"149",289236,2024-04-21,"Weapon",1,8
"150",303854,2024-04-21,"Boost",1,49
"151",300484,2024-04-21,"Boost",2,200
"152",278937,2024-04-21,"Gear",1,3300
"153",272281,2024-03-19,"Gear",1,770
"154",307581,2024-03-19,"Weapon",6,35
"155",305667,2024-03-19,"Weapon",1,4
"156",281526,2024-03-19,"Weapon",3,14
"157",303215,2024-03-19,"Weapon",5,25
"158",291838,2024-03-19,"Weapon",1,2
"159",274411,2024-03-19,"Weapon",5,16
"160",278225,2024-03-19,"Boost",1,100
"161",284457,2024-03-19,"Weapon",1,14
"162",293306,2024-03-19,"Weapon",5,17
"163",292186,2024-03-19,"Weapon",1,6
"164",287002,2024-03-19,"Weapon",1,3
"165",290963,2024-03-19,"Weapon",1,7
"166",291482,2024-03-19,"Weapon",1,6
"167",285532,2024-03-19,"Weapon",1,13
"168",298982,2024-03-19,"Weapon",1,5
"169",285238,2024-03-19,"Weapon",2,7
"170",275852,2024-03-19,"Boost",1,100
"171",276151,2024-04-27,"Boost",1,1
"172",274743,2024-04-27,"Boost",1,49
"173",287706,2024-04-27,"Weapon",1,15
"174",298058,2024-04-27,"Weapon",1,2
"175",304447,2024-04-07,"Weapon",4,41
"176",287351,2024-04-07,"Weapon",2,41
"177",285641,2024-04-07,"Weapon",4,20
"178",308713,2024-04-07,"Weapon",3,15
"179",293617,2024-04-07,"Weapon",2,51
"180",272663,2024-04-07,"Weapon",1,5
"181",273914,2024-04-07,"Boost",1,100
"182",273091,2024-04-07,"Weapon",3,15
"183",281657,2024-04-07,"Weapon",3,63
"184",295266,2024-04-07,"Boost",1,49
"185",284131,2024-04-07,"Weapon",4,20
"186",278000,2024-04-15,"Weapon",4,19
"187",282133,2024-04-15,"Weapon",3,12
"188",302612,2024-04-15,"Boost",1,49
"189",292977,2024-04-15,"Weapon",4,60
"190",306763,2024-04-15,"Weapon",1,5
"191",299367,2024-04-15,"Weapon",2,23
"192",274598,2024-04-15,"Weapon",1,5
"193",285272,2024-04-15,"Weapon",1,500
"194",305441,2024-04-15,"Weapon",1,11
"195",284622,2024-04-15,"Weapon",1,266
"196",291437,2024-04-15,"Weapon",1,15
"197",286774,2024-04-15,"Weapon",1,15
"198",272389,2024-04-15,"Weapon",1,15
"199",279860,2024-04-15,"Weapon",1,23
"200",278790,2024-04-15,"Weapon",1,11
"201",308811,2024-04-15,"Weapon",1,15
"202",302148,2024-03-08,"Weapon",1,5
"203",287854,2024-03-08,"Weapon",2,61
"204",288364,2024-03-08,"Weapon",1,8
"205",292086,2024-03-08,"Weapon",1,5
"206",299427,2024-03-08,"Boost",3,300
"207",275949,2024-03-08,"Weapon",3,27
"208",298825,2024-03-08,"Weapon",4,39
"209",296187,2024-03-08,"Weapon",1,9
"210",287705,2024-03-08,"Weapon",2,21
"211",289050,2024-03-08,"Weapon",1,15
"212",307681,2024-03-08,"Weapon",2,7
"213",278233,2024-03-08,"Weapon",2,10
"214",281513,2024-03-08,"Boost",1,11
"215",280996,2024-03-16,"Weapon",3,12
"216",304641,2024-03-16,"Weapon",2,9
"217",285090,2024-03-16,"Weapon",2,50
"218",300808,2024-03-16,"Weapon",2,30
"219",307623,2024-03-16,"Weapon",10,85
"220",289937,2024-03-16,"Weapon",3,15
"221",292349,2024-03-16,"Weapon",1,15
"222",285392,2024-03-16,"Weapon",1,13
"223",277784,2024-03-16,"Weapon",1,13
"224",295709,2024-03-16,"Boost",1,149
"225",302309,2024-03-16,"Weapon",1,5
"226",296014,2024-03-16,"Weapon",4,21
"227",299031,2024-03-16,"Weapon",1,500
"228",299478,2024-03-16,"Weapon",1,15
"229",295348,2024-04-04,"Weapon",6,44
"230",284406,2024-04-04,"Boost",4,400
"231",280345,2024-04-04,"Weapon",4,20
"232",277283,2024-04-04,"Weapon",2,58
"233",274308,2024-04-04,"Weapon",3,38
"234",285948,2024-04-04,"Weapon",4,24
"235",308734,2024-04-04,"Weapon",4,20
"236",288135,2024-04-04,"Weapon",5,25
"237",286023,2024-04-04,"Weapon",5,43
"238",303260,2024-04-04,"Boost",1,2
"239",275138,2024-04-04,"Boost",1,49
"240",283924,2024-04-04,"Weapon",1,13
"241",292827,2024-04-04,"Weapon",1,10
"242",273379,2024-04-04,"Weapon",1,5
"243",300927,2024-04-04,"Weapon",1,50
"244",294258,2024-04-04,"Weapon",1,1
"245",281870,2024-04-04,"Weapon",1,50
"246",273818,2024-04-04,"Gear",2,950
"247",281489,2024-04-04,"Weapon",1,12
"248",288111,2024-04-04,"Weapon",1,12
"249",288791,2024-04-04,"Weapon",1,12
"250",306645,2024-04-04,"Weapon",1,15
"251",272111,2024-04-04,"Weapon",1,15
"252",292358,2024-03-21,"Weapon",1,13
"253",304375,2024-03-21,"Weapon",2,6
"254",300334,2024-03-21,"Weapon",9,64
"255",304819,2024-03-21,"Weapon",5,75
