"","user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
"128",294201,2024-03-15,"Remove Ads",4.99,3
"129",276048,2024-04-02,"Gold",4.99,1
"130",287596,2024-04-01,"Remove Ads",4.99,10
"131",306890,2024-04-24,"Promotion",4.99,2
"132",292230,2024-03-22,"Gold",9.99,8
"133",277873,2024-03-07,"Promotion",4.99,8
"134",276874,2024-04-20,"Promotion",4.99,2
"135",284776,2024-04-02,"Promotion",4.99,1
"136",274099,2024-04-05,"Gold",4.99,1
"137",281161,2024-04-07,"Gold",4.99,1
"138",272281,2024-03-19,"Promotion",4.99,1
"139",284707,2024-03-03,"Gold",9.99,2
"140",304726,2024-04-27,"Gold",4.99,3
"141",277991,2024-04-26,"Remove Ads",4.99,5
"142",306975,2024-03-12,"Gold",4.99,9
"143",278803,2024-03-08,"Promotion",4.99,1
"144",287110,2024-04-01,"Promotion",9.99,2
"145",274172,2024-03-05,"Promotion",4.99,2
"146",301356,2024-03-25,"Remove Ads",4.99,5
"147",277800,2024-04-12,"Gold",9.99,2
"148",282914,2024-04-22,"Gold",4.99,1
"149",277525,2024-03-20,"Gold",4.99,6
"150",285634,2024-04-08,"Gold",9.99,2
"151",287037,2024-03-02,"Gold",9.99,1
"152",294268,2024-03-08,"Gold",4.99,1
"153",279443,2024-03-21,"Promotion",4.99,1
"154",306369,2024-04-16,"Remove Ads",4.99,16
"155",299427,2024-03-18,"Gold",4.99,17
"156",300865,2024-03-02,"Promotion",4.99,2
"157",273281,2024-04-20,"Promotion",4.99,3
"158",305084,2024-03-08,"Promotion",4.99,3
"159",299527,2024-03-23,"Promotion",4.99,31
"160",279199,2024-03-09,"Gold",9.99,33
"161",279199,2024-03-22,"Gold",9.99,53
"162",279199,2024-04-20,"Gold",9.99,121
"163",301223,2024-04-04,"Gold",4.99,3
"164",283181,2024-03-11,"Promotion",4.99,1
"165",279328,2024-04-29,"Promotion",9.99,32
"166",286414,2024-03-16,"Gold",4.99,1
"167",275806,2024-03-30,"Promotion",4.99,1
"168",281517,2024-03-17,"Promotion",4.99,1
"169",301321,2024-04-06,"Gold",4.99,1
"170",298574,2024-03-21,"Promotion",4.99,1
"171",306164,2024-04-29,"Gold",19.99,1
"172",282798,2024-04-10,"Gold",4.99,63
"173",309213,2024-04-08,"Promotion",4.99,7
"174",290239,2024-04-16,"Promotion",4.99,4
"175",283220,2024-04-06,"Promotion",4.99,13
"176",305769,2024-04-05,"Gold",29.99,1
"177",307005,2024-03-27,"Promotion",4.99,1
"178",302245,2024-04-20,"Gold",4.99,2
"179",275933,2024-03-02,"Promotion",4.99,1
"180",284094,2024-04-29,"Gold",4.99,1
"181",292230,2024-03-20,"Gold",9.99,6
"182",302254,2024-03-07,"Promotion",4.99,1
"183",283454,2024-03-21,"Gold",4.99,1
"184",306268,2024-04-04,"Promotion",4.99,1
"185",284707,2024-03-02,"Remove Ads",4.99,1
"186",284707,2024-03-16,"Gold",9.99,14
"187",279670,2024-04-26,"Promotion",9.99,2
"188",281791,2024-03-10,"Promotion",4.99,1
"189",287708,2024-03-18,"Promotion",4.99,1
"190",283372,2024-04-10,"Remove Ads",4.99,10
"191",287110,2024-04-04,"Promotion",9.99,3
"192",276842,2024-04-12,"Gold",4.99,1
"193",274746,2024-04-09,"Remove Ads",4.99,3
"194",295371,2024-03-25,"Promotion",4.99,2
"195",279745,2024-03-25,"Promotion",4.99,4
"196",289867,2024-04-25,"Promotion",4.99,9
"197",274469,2024-03-03,"Gold",4.99,3
"198",274469,2024-03-10,"Gold",9.99,7
"199",288371,2024-04-01,"Gold",4.99,4
"200",299483,2024-04-23,"Gold",4.99,2
"201",304865,2024-03-26,"Remove Ads",NA,16
"202",304865,2024-04-02,"Remove Ads",NA,17
"203",299527,2024-03-08,"Remove Ads",4.99,6
"204",295423,2024-04-08,"Remove Ads",4.99,6
"205",279199,2024-03-02,"Gold",9.99,10
